username,rating,comment
deshopvy,5,"Performa:Bagus
Cocok Untuk:Rambut
Tekstur:Lembut

Packing aman bubblewarpnya tebel, dapet bonus lg serum keratin.. Dapet harga pas sale 7.7 mantap.. Semoga lurusnya awet.. Bener2 lurus dan panas"
j*****_,4,"Performa:ok
Cocok Untuk:rambut
Tekstur:ok

Bagus juga. Cuman awalnya ga nyala lampu indikator,, tapi ternyata harus d tekan baru dorong.. overall ok sih. Bisa mengatasi rambut singaku😂"
s*****i,5,"Tekstur:sesuai
Performa:top banget
Cocok Untuk:meluruskan rambut

Sangat praktis untuk merapikan rambut, dalam 5 menit rambut lurus rapi. Lanjut menggunakan catokan untuk merapikan ujung rambut saja."
n*****y,5,Yg barcodenya gk bisa diakses. Lumayan bisa lurusin rambut cepet drpd pake catok. Minusnya dia kurang maksimal di deket akar rambut. Kalo digoyang ada suara cetak cetok. Semoga awet
r*****2,5,"Cocok Untuk:meluruskan rambut
Tekstur:baik
Performa:sedang

Kalau di rambut saya harus ekstra karena tebel banget. Jadi kalau cuma di sisir2 gitu doank gak bisa uy tetep ngembang. thanks seller."
v*****y,5,"Cocok Untuk:meluruskan rambut
Tekstur:bagus
Performa:sip

Untuk yg mau beli, sebaiknya gunakan vitamin rambut atau minyak rambut dulu ketika hendak menggunakan ya karena panasnya memang bener² ngebantu ngelurusin rambut lho.😊😍"
ekadryastiti,5,"Performa:sangat baik
Cocok Untuk:sangat baik
Tekstur:sangat baik

Amat sangat membantu"
f*****e,5,Kualitas produk sangat baik. Bagus. Sangat berguna. Beneran works dalam 5 menit saja. Packing oke. Pengiriman oke. Recommended!
n*****o,3,"Cocok Untuk:rambut ikal
Performa:biasa
Tekstur:lurus mengembang

Maaf aku kasi bintang 3 soalnya aku pikir bisa jadi lurus dan jatuh tergerai kayak abis dismoothing. Jadinya emang lumayan lurus sih, cuma rambutku kasar dan mengembang kayak singa"
v*****n,5,"Performa:oke
Tekstur:oke
Cocok Untuk:rambut

Mendarat dengan selamat walau pun telat 12 jam.. terima kasih"
dini_galeri,5,"Rambutku tuh ga keriting cuma tebel dan ngembang apalagi kalo habis keramas jadi kayak singa, sisirnya bantu banget rambut jadi lurus lembut. Thanks"
kristinatitin15,5,"Tekstur:lurus dan gelombang
Cocok Untuk:semua
Performa:bagus

Selama beberapa hari dipakai aman, panas juga 
Semoga kedeppan aman dan tdk ada kerusakan

Packingnya juga aman
Hasil catokan lurus, tp lurusnya beda dg catokan biasa"
prany,5,"Tekstur:Ada sedikit bekas kotor
Performa:Oke
Cocok Untuk:Rambut sulit diatur

Udh dicoba dan hasilnya bagus."
w*****t,5,"Cocok Untuk:rambutku

produk sampai dgn selamat, packingnya sayang kurang safety ya meskipun bubble wrap udah tebel.
produk berfungsi dgn baik."
nizaullatifah,5,Mantap panasnya cepat sekalii🥰 tdk ada masalah kalo philips mah 🫡
r*****a,5,"Cocok Untuk:Keringkan rambut
Tekstur:Baik
Performa:Baik

Semoga awet ..."
yudianatadewi,5,"Mudah di gunakan, berfungsi dengan baik, panas merata, pengiriman baik"
mareeama,5,"Tekstur:halus
Performa:cakeppp
Cocok Untuk:merapikan rambut ala sat set sat set

Packing sih biasa aja, mengingat ini barang elektronik. Kualitas barang emang g perlu diragukan lg brand yg 1 ini. Maksih seller n kurir"
syoneitha,5,"Tekstur:baik
Cocok Untuk:rambut ikal dan keriting
Performa:baik"
f*****g,4,"Cocok Untuk:rambut
Performa:baik
Tekstur:baik

Lumayan bagus sih. Cocok untuk rambut saya yg habis keramas selalu ngembang. Terima kasih"
shabrinakh,5,Pengiriman lama banget jujur. Kecewa sih. Barang aman. Hanya di bubble wrap aja. Berfungsi normal.
d*****2,4,"Performa:belum dicoba semoga sesuai

Semoga awet dan sesuai ekspektasi"
t*****a,5,Lurusnya natural... tapi tipikal rambut aku emang rambut lurus cuman krn aku gk suka rambut ngembang kek singa makanya beli produk ini... pertama kali nyoba bagus sih..panasnya juga gk yg panas pakai banget kek kalau Makai catokan :)
